,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_type
52,Independent House,"5 Bedroom House in Sector 109, Gurgaon","5 Bedroom House in Sector 109, Gurgaon",₹13.9 Cr,"₹38,611 /sqft",5,6,5 BHK,3600,"3,600 sqft",,,,RESALE,,,,"Swimming Pool, Gym, Park, Jogging Track, Play Area","Sobha international city | ready to move 400 sq.Yd | 5bhk + servant Sobha international city in sector 109, gurgaon Sobha international city phase 1, 208 units Spread over an area of 36 acres Luxury amenities Swimming pool lawn tennis basketball court gymnasium premium clubhouse yoga & aerobics kids play area jogging track landscaped parks large banquet hall Prime connectivity 0 km from delhi 2...",International City by Sobha Phase 1,International City by Sobha Phase 1,,House
53,Independent House,"2 Bedroom House in Sector 88B, Gurgaon","2 Bedroom House in Sector 88B, Gurgaon",₹1.65 Cr,"₹12,213 /sqft",2,2,2 BHK,1351,"1,351 sqft",Carpet,,East,RESALE,,2.0,,"Garden, Park","Sector 88b gurgaon is one of gurgaon's most sought after destination for residential houses and this 2 bhk house in sector 88b gurgaon is your opportunity to be a part of this community. The floor plan additionally contains 2 bedrooms, 2 bathrooms and 2 balconies. All in all, the independent house is spread over a carpet area of 1351 sq.Ft. Your vehicle(s) can be easily parked as this house com...",Vatika Xpressions,Vatika Xpressions,East Facing Private Garden,House
54,Independent House,"6 Bedroom House in Sector 4, Gurgaon","6 Bedroom House in Sector 4, Gurgaon",₹4.9 Cr,"₹21,778 /sqft",6,6,6 BHK,2250,"2,250 sqft",,,East,RESALE,,,,,"Premium 250 sq. Yards | 3-Storey independent house | sector 4 (Front pocket) An excellent opportunity to own a top-Notch, ready-To-Move-In independent house located in the prime belt of sector 4. This north-East facing property is thoughtfully designed with 3 bhk units on each floor, making it ideal for large families, joint families, or rental investment. Key features: Built on 250 sq. Yards, ...","Sector 4, Gurgaon","Sector 4, Gurgaon",,House
55,Independent House,"4 Bedroom House in Sector 109, Gurgaon","4 Bedroom House in Sector 109, Gurgaon",₹7.5 Cr,"₹1,25,000 /sqft",4,4,4 BHK,600,600 sqft,,,North-East,RESALE,,,,Garden,Spacious ready to move 4 bhk villa on 600 sqyd plot in sobha international city sec 109 gurgaon,International City by SOBHA Phase 2,International City by SOBHA Phase 2,North-East Facing Private Garden,House
56,Independent House,"5 Bedroom House in Sector 109, Gurgaon","5 Bedroom House in Sector 109, Gurgaon",₹9.25 Cr,"₹38,066 /sqft",5,5,5 BHK,2430,"2,430 sqft",,,North-East,RESALE,,,,Garden,"Sobha international city, a luxurious township in gurgaon featuring presidential villas and duplex homes. Sobha international city, developed by sobha developers ltd, is an upscale residential township situated in sector 109, gurgaon. Spanning 150 acres, it comprises super luxury villas",International City by Sobha Phase 1,International City by Sobha Phase 1,North-East Facing Private Garden,House
57,Independent House,"4 Bedroom House in Nirvana Country, Gurgaon","4 Bedroom House in Nirvana Country, Gurgaon",₹12.25 Cr,"₹43,103 /sqft",4,4,4 BHK,2610,"2,610 sqft",,,East,RESALE,,,,Garden,"Duplex villa availabe for sale in nirvana country, wide road east facing lush greenery, for more details kindly contact",Unitech Nirvana Birch Court,Unitech Nirvana Birch Court,East Facing Private Garden,House
58,Independent House,"4 Bedroom House in Sector 46, Gurgaon","4 Bedroom House in Sector 46, Gurgaon",₹11.4 Cr,"₹42,222 /sqft",4,5,4 BHK,2700,"2,700 sqft",,,North,RESALE,,,,"Garden, Park",Vista villa sector 46 4bhk 4bathroom gated society opposite unitech cyber park walking,Unitech Vista Villas,Unitech Vista Villas,North Facing Private Garden,House
59,Independent House,"4 Bedroom House in Sector 46, Gurgaon","4 Bedroom House in Sector 46, Gurgaon",₹11.3 Cr,"₹41,851 /sqft",4,4,4 BHK,2700,"2,700 sqft",,,,RESALE,,,,"Garden, Park",This is well maintained villa and good greenery park club all amenities this luxury feel,Unitech Vista Villas,Unitech Vista Villas,Private Garden Gated Society,House
60,Independent House,"5 Bedroom House in Sector 48, Gurgaon","5 Bedroom House in Sector 48, Gurgaon",₹12.5 Cr,"₹38,343 /sqft",5,5,5 BHK,3260,"3,260 sqft",,,,RESALE,,3.0,,"Parking, Garden, Park","Do you wish to buy an independent house in sector 48 gurgaon. This 5 bhk house looks like an ideal choice for somebody looking for peace of mind. Containing 5 bedrooms, 5 bathrooms and 3 balconies, this independent house is spread over a super built up area of 3260 sq.Ft. This 5 bhk house comes attached with 2 open parking for your vehicle(s). As the property is already ready to move, so you ca...",Vipul Tatvam Villa,Vipul Tatvam Villa,Private Garden Gated Society,House
61,Independent House,"5 Bedroom House in Tikri, Gurgaon","5 Bedroom House in Tikri, Gurgaon",₹20 Cr,"₹29,551 /sqft",5,5,5 BHK,6768,"6,768 sqft",,,North,RESALE,,,,Garden,"Tatvam villas in gurgaon is an exclusive luxury residential community located in sector 48, along the prime sohna road. Developed by vipul limited, the project offers elegantly designed independent villas surrounded by beautifully landscaped greenery. Each villa features spacious interiors, private lawns, and modern architecture that blends comfort with sophistication. Residents enjoy a wide ra...",Vipul Tatvam Villa,Vipul Tatvam Villa,North Facing Private Garden,House
62,Independent House,"7 Bedroom House in Sector 4, Gurgaon","7 Bedroom House in Sector 4, Gurgaon",₹5 Cr,"₹22,222 /sqft",7,6,7 BHK,2250,"2,250 sqft",,,East,RESALE,,,,,"Premium 250 sq. Yards | 2.5-Storey independent house | sector 4 (Front pocket) A ready-To-Move-In independent house located in the top-Notch belt of sector 4, just near blue bells school. This east-Facing property is thoughtfully planned and ideal for end users as well as investors. Key features: 250 sq. Yards plot 2.5-Storey construction 3 bhk on each floor East-Facing property (Excellent vast...","Sector 4, Gurgaon","Sector 4, Gurgaon",,House
63,Independent House,"4 Bedroom House in Sector 15 Part 2, Gurgaon","4 Bedroom House in Sector 15 Part 2, Gurgaon",₹18 Cr,"₹40,000 /sqft",4,6,4 BHK,4500,"4,500 sqft",,,,RESALE,,,,"Parking, Garden, Park","A 4bhk spacious kothi in sector 15, part 2 , gurgaon available for sale that's providing luxurious living with a large park and basement with 3 coverd car parking.","Sector 15 Part 2, Gurgaon","Sector 15 Part 2, Gurgaon",Private Garden Gated Society,House
64,Independent House,"3 Bedroom House in Sector 82, Gurgaon","3 Bedroom House in Sector 82, Gurgaon",₹5.5 Cr,"₹24,943 /sqft",3,4,3 BHK,2205,"2,205 sqft",,,,RESALE,,,,Garden,"This property is located at prime location Freehold simplex villa with good interior, I have many inventories Like, villa, plots , floors",Vatika Signature Villas,Vatika Signature Villas,Private Garden Recently Renovated,House
65,Independent House,"12 Bedroom House in Sushant Lok 2,Sector 55, Gurgaon","12 Bedroom House in Sushant Lok 2,Sector 55, Gurgaon",₹8 Cr,"₹63,492 /sqft",12,12,12 BHK,1620,"1,620 sqft",Covered,4,,RESALE,,,,"Parking, Park","Spacious and modern 180 sq. Yards (1,620 sq. Ft. Per floor) stilt + 4 floors builder-Style house in sector 55, gurgaon a smart property for a large family or an investor seeking rental income. The ground (Stilt) provides secure covered parking and service/utility space, while four well-Planned residential floors offer bright, airy rooms with ample balconies and a usable terrace on the top floor...","Sushant Lok 2,Sector 55, Gurgaon","Sushant Lok 2,Sector 55, Gurgaon",,House
66,Independent House,"4 Bedroom House in Sector 50, Gurgaon","4 Bedroom House in Sector 50, Gurgaon",₹8.5 Cr,"₹36,956 /sqft",4,5,4 BHK,2300,"2,300 sqft",,,,RESALE,,2.0,,Garden,"Planning to buy an individual house in gurgaon. Then you should definitely check out this 4 bhk house for sale in sector 50 gurgaon, a well-Planned and well-Connected locality in gurgaon. The floor plan additionally contains 4 bedrooms, 5 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 2300 sq.Ft. Being a ready to move house, you can expect i...",Mayfield Gardens,Mayfield Gardens,Private Garden Recently Renovated,House
67,Independent House,"2 Bedroom House in Sector 1 Imt Manesar, Gurgaon","2 Bedroom House in Sector 1 Imt Manesar, Gurgaon",₹5.2 Cr,"₹15,484 /sqft",2,2,2 BHK,3358,"3,358 sqft",,,,RESALE,,,Study Room,Garden,"312 sq.Meter plot available for sale.25% completed. It has 2 bedrooms, 2 bathrooms and a study room.Many more options call me.","Sector 1 Imt Manesar, Gurgaon","Sector 1 Imt Manesar, Gurgaon",Private Garden Gated Society,House
68,Independent House,"4 Bedroom House in Sector 48, Gurgaon","4 Bedroom House in Sector 48, Gurgaon",₹12.5 Cr,"₹31,250 /sqft",4,4,4 BHK,4000,"4,000 sqft",,,,RESALE,,,,,"Experience ultra-Luxury living in this stunning 4bhk villa, designed with spacious interiors, premium finishes, and abundant natural light. Featuring a grand living area, private lawn, terrace, modular kitchen, and premium fittings, this villa offers a perfect blend of comfort and sophistication. Ideal for large families seeking privacy, exclusivity, and a serene lifestyle.",Vipul Tatvam Villa,Vipul Tatvam Villa,,House
69,Independent House,"5 Bedroom House in Block M South City 1, Gurgaon","5 Bedroom House in Block M South City 1, Gurgaon",₹11.5 Cr,"₹35,494 /sqft",5,5,5 BHK,3240,"3,240 sqft",,,South,RESALE,,,,Garden,Luxury living This is 5 bhk independent house In south city 1 block m Center of gurgaon Nh 8 just 5 min far as well as metro just 5 min 360 sqyd area Gated lane Modular kitchen,"Block M South City 1, Gurgaon","Block M South City 1, Gurgaon",Private Garden Gated Society,House
70,Independent House,"4 Bedroom House in South City 1, Gurgaon","4 Bedroom House in South City 1, Gurgaon",₹11.6 Cr,"₹35,802 /sqft",4,5,4 BHK,3240,"3,240 sqft",,,South,RESALE,,,,"Security, Gated Community, Park",This is 4bhk independent house in south city 1 Gurgaon Gated community 24x7 security guard Very well connectivity Modular kitchen 3 car can be parked in area Feel luxury,"South City 1, Gurgaon","South City 1, Gurgaon",Gated Society Ceramic Flooring,House
71,Independent House,"2 Bedroom House in Sector 37D, Gurgaon","2 Bedroom House in Sector 37D, Gurgaon",₹1.25 Cr,"₹10,416 /sqft",2,2,2 BHK,1200,"1,200 sqft",,,,RESALE,,,,,"Rediscover a good lifestyle in 20.5890 acres of happiness; Enjoy a well-Connected life with proximity to major highways. Signature global city 37d is designed with a neo classical faade architectural theme to provide you with an upscale, urban ambience. Also, vastu compliant prayer rooms help to harness the positive energy; Creating an ambience of domestic bliss.",Signature Global City,Signature Global City,,House
72,Independent House,"5 Bedroom House in Sector 48, Gurgaon","5 Bedroom House in Sector 48, Gurgaon",₹8.7 Cr,"₹31,694 /sqft",5,6,5 BHK,2745,"2,745 sqft",,,,RESALE,,,,,5bhk villa for sale in sector 48 call me for more details,Eldeco Mansionz,Eldeco Mansionz,,House
73,Independent House,"4 Bedroom House in Sector 48, Gurgaon","4 Bedroom House in Sector 48, Gurgaon",₹16 Cr,"₹35,556 /sqft",4,4,4 BHK,4500,"4,500 sqft",,,North,RESALE,,,,"Swimming Pool, Gym, Garden, Security","Tatvam villas, gurgaon is a premium residential community located in sector 48, along sohna road. Developed by vipul limited, it offers spacious, independently designed luxury villas spread across a lush, green landscape. The project features modern architecture, private gardens, and world-Class amenities such as a clubhouse, swimming pool, gym, spa, walking trails, and 24/7 security. Known for...",Vipul Tatvam Villa,Vipul Tatvam Villa,North Facing Private Garden,House
74,Independent House,"4 Bedroom House in Sector 82, Gurgaon","4 Bedroom House in Sector 82, Gurgaon",₹6.75 Cr,"₹2,59,615 /sqft",4,4,4 BHK,260,260 sqft,,,East,RESALE,,,,,Vatika 260 sq.Yard 4 bhk gated villa Villa community Call for more details,Vatika Signature Villas,Vatika Signature Villas,East Facing Gated Society,House
75,Independent House,"5 Bedroom House in Sector 109, Gurgaon","5 Bedroom House in Sector 109, Gurgaon",₹15 Cr,"₹19,230 /sqft",5,5,5 BHK,7800,"7,800 sqft",,,North-East,RESALE,,,,Garden,"Planning to buy an individual house in gurgaon. Then you should definitely check out this 5 bhk house for sale in sector 109 gurgaon, a well-Planned and well-Connected locality in gurgaon. Another plus point for the house is that it is situated near close to school, close to hospital, close to highway and close to mall. The floor plan additionally contains 5 bedrooms, 5 bathrooms and more than ...",ATS Tourmaline,ATS Tourmaline,North-East Facing Private Garden,House
76,Independent House,"5 Bedroom House in V Block DLF Phase 3, Gurgaon","5 Bedroom House in V Block DLF Phase 3, Gurgaon",₹7 Cr,"₹47,716 /sqft",5,6,5 BHK,1467,"1,467 sqft",,2,East,RESALE,,,,,"Well-Planned independent house in dlf phase 3, one of gurgaons most established and high-Demand residential locations. Built on a 163 sq yds plot, this east-Facing property is located on a 12-Metre wide lane, ensuring excellent accessibility, natural light, and ventilation throughout the day. The house is constructed as stilt + 2 floors, making it ideal for both end-Use living and rental income...",Stilt Plus Two New House,Stilt Plus Two New House,East Facing Molsari Avenue Metro Nearby,House
77,Independent House,"3 Bedroom House in Nirvana Country, Gurgaon","3 Bedroom House in Nirvana Country, Gurgaon",₹12.5 Cr,"₹57,870 /sqft",3,5,3 BHK,2160,"2,160 sqft",,,East,RESALE,,,,Garden,Unitech nirvana country well mainten villa,Unitech Espace,Unitech Espace,East Facing Private Garden,House
78,Independent House,"6 Bedroom House in DLF Phase 2, Gurgaon","6 Bedroom House in DLF Phase 2, Gurgaon",₹16 Cr,"₹59,259 /sqft",6,6,6 BHK,2700,"2,700 sqft",,,North-East,RESALE,,3.0,,Garden,"Check out this 6 bhk house for sale in dlf phase 2, a popular residential locality that contains many of the in-Demand properties in gurgaon. Another plus point for the house is that it is situated near close to metro station, close to school, close to hospital and close to market. This house occupies a super built up area of 300 sq.Yards and contains 6 bedrooms, 6 bathrooms and 3 balconies. Th...","DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",North-East Facing Private Garden,House
79,Independent House,"11 Bedroom House in DLF Phase 2, Gurgaon","11 Bedroom House in DLF Phase 2, Gurgaon",₹16 Cr,"₹82,687 /sqft",11,4,11 BHK,1935,"1,935 sqft",,,East,RESALE,,3.0,,Garden,"On the lookout for a spacious house in gurgaon? Go for this 11 bhk house for sale in dlf phase 2, a well-Connected locality within gurgaon. This residential property boasts proximity to key landmarks like close to metro station, close to market and close to school. The floor plan additionally contains 11 bedrooms, 4 bathrooms and 3 balconies. All in all, the independent house is spread over a s...","DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",East Facing Private Garden,House
